REGIAOSAU,MUNICIPIOS,TRAB_SAUDE,MAIOR_80,ENTRE_75_70,ENTRE_70_74,ENTRE_65_69,ENTRE_60_64,PESSOAS_DEF,INDIGENAS,RIBEIRINHOS,QUILOMBOLA,FOR_SEG_SALV,AG_PRISIONAL,DETENTOS
TOCANTINS,Moju,481,668,712,953,1459,1828,3284,6,94,0,6902,62,0,0
TOCANTINS,Tailândia,753,453,580,863,1294,1759,2262,4,0,0,0,25,0,0
MARAJO I,Afuá,407,335,323,394,677,828,1883,8,0,29,0,0,0,0
MARAJO I,Cachoeira do Arari,236,133,162,261,395,587,602,8,0,0,803,9,0,0
MARAJO I,Chaves,235,223,216,302,455,544,607,2,0,1770,0,0,0,0
MARAJO I,Muaná,269,360,314,481,678,902,1189,8,0,2241,0,32,0,0
MARAJO I,Ponta de Pedras,247,352,282,401,617,887,1081,4,0,5756,536,18,0,0
MARAJO I,Salvaterra,155,321,281,420,523,731,946,4,0,0,6357,0,0,0
MARAJO I,Santa Cruz do Arari,65,98,100,130,187,267,330,4,0,0,0,2,0,0
MARAJO I,São Sebastião da Boa Vista,223,307,275,326,482,648,796,4,0,457,0,5,0,0
MARAJO I,Soure,103,373,326,446,636,901,1225,8,0,0,27,0,0,0
MARAJO II,Anajás,225,214,223,276,446,577,1223,4,0,0,0,14,0,0
MARAJO II,Bagre,253,153,170,251,360,570,633,2,0,1478,302,0,0,0
MARAJO II,Breves,1388,1039,956,1268,2004,2538,4493,4,0,3534,0,141,5,260
MARAJO II,Curralinho,250,281,261,348,483,606,1371,2,0,0,1494,4,0,0
MARAJO II,Gurupá,360,284,312,406,510,713,1704,4,0,0,3196,5,0,0
MARAJO II,Melgaço,352,129,121,176,307,345,757,6,0,1361,0,6,0,0
MARAJO II,Portel,388,428,411,606,891,1081,1635,2,0,8356,194,0,0,0
BAIXO AMAZONAS,Alenquer,637,821,726,948,1370,1693,2048,0,0,1454,26,0,0
BAIXO AMAZONAS,Almeirim,344,319,318,478,732,1066,1278,6,600,0,0,54,1,14
BAIXO AMAZONAS,Aveiro,152,220,210,271,421,496,512,305,0,0,6,0,0
BAIXO AMAZONAS,Belterra,156,312,262,360,537,579,476,6,303,1695,0,1,0,0
BAIXO AMAZONAS,Curuá,138,125,126,157,238,363,335,6,0,1625,0,0,0,0
BAIXO AMAZONAS,Faro,202,96,87,109,177,235,235,0,1010,0,0,0,0
BAIXO AMAZONAS,Itaituba,1718,1032,1066,1712,2512,3434,3058,4,419,1936,0,805,3,318
BAIXO AMAZONAS,Jacareacanga,267,34,44,89,109,169,577,4888,0,0,1,0,0
BAIXO AMAZONAS,Juruti,731,496,471,588,925,1187,1474,2,0,0,427,146,0,0
BAIXO AMAZONAS,Mojuí dos Campos,140,261,235,378,477,547,,0,1054,0,1,0,0
BAIXO AMAZONAS,Monte Alegre,521,951,852,1142,1662,2075,2048,2,0,0,814,105,0,0
BAIXO AMAZONAS,Novo Progresso,330,96,147,304,510,784,712,8,0,0,0,2,0,0
BAIXO AMAZONAS,Óbidos,466,734,711,911,1341,1604,1722,4,1219,1725,7594,40,0,0
BAIXO AMAZONAS,Oriximiná,935,814,789,1088,1564,2099,2227,6,1323,4448,8511,216,0,39
BAIXO AMAZONAS,Placas,298,150,189,329,481,708,660,2,0,0,0,0,0,0
BAIXO AMAZONAS,Prainha,258,287,288,371,624,781,1044,8,0,0,24,0,0,0
BAIXO AMAZONAS,Rurópolis,435,337,362,643,933,1360,819,8,0,181,0,60,0,0
BAIXO AMAZONAS,Santarém,8119,4070,3706,5049,7574,9795,10779,2,3719,0,6770,2516,15,1440
BAIXO AMAZONAS,Terra Santa,289,241,216,301,445,604,368,2,0,18,0,48,0,0
BAIXO AMAZONAS,Trairão,186,107,148,251,387,531,429,92,0,0,8,0,0
XINGU,Altamira,3807,1241,1178,1812,2682,3802,4261,8,1942,0,0,1311,2,5
XINGU,Anapu,312,162,203,321,513,664,928,8,378,0,0,16,0,0
